representative	product	locus_tag
VNG_2462G	signal recognition particle receptor FtsY	VNG_2462G,VNG_RS09620,VNG2462G
VNG_2465C	prefoldin alpha subunit	VNG_2465C,VNG_RS09625,VNG2465C
VNG_2466a	translation initiation factor aIF-6	VNG_2466a,VNG_RS09630,VNG2466a
VNG_2466C	spurious ORF	VNG_2466C,VNG2466C
VNG_2467G	50S ribosomal protein L31e	VNG_2467G,VNG_RS09635,VNG2467G
VNG_2468C	tetratricopeptide repeat protein	VNG_2468C,VNG_RS09645,VNG2468C
VNG_2469G	50S ribosomal protein L39e	VNG_2469G,VNG_RS09640,VNG2469G
VNG_2470C	DUF424 family protein	VNG_2470C,VNG_RS09650,VNG2470C
VNG_2471G	cysteine desulfurase	VNG_2471G,VNG_RS09655,VNG2471G
VNG_2472G	iron-sulfur cluster assembly protein	VNG_2472G,VNG_RS09660,VNG2472G
VNG_2473G	DNA repair and recombination protein RadA	VNG_2473G,VNG_RS09665,VNG2473G
VNG_2474C	NMD3 family protein	VNG_2474C,VNG_RS09670,VNG2474C
VNG_2475a	uncharacterized protein	VNG_2475a,VNG_RS09680
VNG_2475C	tRNA(Phe) (4-demethylwyosine(37)-C(7))aminocarboxypropyltransferase	VNG_2475C,VNG_RS09675,VNG2475C
VNG_2476C	helicase domain protein	VNG_2476C,VNG_RS09685,VNG2476C
VNG_2477H	small CPxCG-related zinc finger protein	VNG_2477H,VNG_RS09690,VNG2477H
VNG_2480H	PhoU domain protein	VNG_2480H,VNG_RS09695,VNG2480Hm
VNG_2482G	ABC-type transport system ATP-binding protein(probable substrate phosphate)	VNG_2482G,VNG_RS09700,VNG2482G
VNG_2483G	ABC-type transport system permease protein(probable substrate phosphate)	VNG_2483G,VNG_RS09705,VNG2483G
VNG_2484G	ABC-type transport system permease protein(probable substrate phosphate)	VNG_2484G,VNG_RS09710,VNG2484G
VNG_2486G	ABC-type transport system periplasmicsubstrate-binding protein (probable substrate phosphate)	VNG_2486G,VNG_RS09715,VNG2486G
VNG_2488C	arNOG08307 family NADH-binding domain protein	VNG_2488C,VNG_RS09720,VNG2488C
VNG_2490a	uncharacterized protein	VNG_2490a,VNG_RS14135
VNG_2490b	uncharacterized protein	VNG_2490b,VNG_RS09730
VNG_2490H	uncharacterized protein	VNG_2490H,VNG_RS09725,VNG2490H
VNG_2493C	PHP domain protein	VNG_2493C,VNG_RS09735,VNG2493C
VNG_2495a	uncharacterized protein	VNG_2495a,VNG_RS14260
VNG_2495H	spurious ORF	VNG_2495H,VNG2495H
VNG_2496G	ferredoxin (3Fe-4S)(4Fe-4S), zinc-containing	VNG_2496G,VNG_RS09740,VNG2496G
VNG_2497H	cupin 2 barrel domain protein	VNG_2497H,VNG_RS09745,VNG2497H
VNG_2498H	DUF393 family protein	VNG_2498H,VNG_RS09750,VNG2498H
VNG_2499G	glutaryl-CoA dehydrogenase	VNG_2499G,VNG_RS09755,VNG2499G
VNG_2501C	glutamine amidotransferase (homolog to GMPsynthase subunit A)	VNG_2501C,VNG_RS09760,VNG2501C
VNG_2502C	HD family hydrolase	VNG_2502C,VNG_RS09765,VNG2502C
VNG_2504G	phenylalanine--tRNA ligase alpha subunit	VNG_2504G,VNG_RS09770,VNG2504G
VNG_2505G	phenylalanine--tRNA ligase beta subunit	VNG_2505G,VNG_RS09775,VNG2505G
VNG_2507G	dihydroorotate dehydrogenase (quinone)	VNG_2507G,VNG_RS09780,VNG2507G
VNG_2508C	nonhistone chromosomal protein	VNG_2508C,VNG_RS09785,VNG2508C
VNG_2509H	uncharacterized protein	VNG_2509H,VNG_RS09815,VNG2509H
VNG_2510H	uncharacterized protein	VNG_2510H,VNG_RS09820,VNG2510H
VNG_2511H	uncharacterized protein	VNG_2511H,VNG2511H
VNG_2512G	beta-lactamase domain protein	VNG_2512G,VNG_RS09830,VNG2512G
VNG_2513G	aldehyde dehydrogenase	VNG_2513G,VNG_RS09835,VNG2513G
VNG_2514G	30S ribosomal protein S6e	VNG_2514G,VNG_RS09840,VNG2514G
VNG_2515H	uncharacterized protein	VNG_2515H,VNG_RS09845,VNG2515H
VNG_2516C	PfkB family kinase	VNG_2516C,VNG_RS09850,VNG2516C
VNG_2518C	homolog to photosystem I biogenesis proteinBtpA	VNG_2518C,VNG_RS09855,VNG2518C
VNG_2519H	uncharacterized protein	VNG_2519H,VNG_RS09860,VNG2519H
VNG_2520C	UspA domain protein	VNG_2520C,VNG_RS09865,VNG2520C
VNG_2521H	UspA domain protein	VNG_2521H,VNG_RS09870,VNG2521H
VNG_2522C	GNAT family acetyltransferase	VNG_2522C,VNG_RS09875,VNG2522C
VNG_2523H	UspA domain protein	VNG_2523H,VNG_RS09880,VNG2523H
VNG_2524H	uncharacterized protein	VNG_2524H,VNG_RS09885,VNG2524H
VNG_2525H	uncharacterized protein	VNG_2525H,VNG_RS09890,VNG2525H
VNG_2526G	ABC-type transport system ATP-binding protein(probable substrate dipeptide/oligopeptide)	VNG_2526G,VNG_RS09895,VNG2526G
VNG_2527G	ABC-type transport system periplasmic substrate-binding protein (probable substratedipeptide/oligopeptide)	VNG_2527G,VNG_RS09900,VNG2527G
VNG_2529G	ABC-type transport system permease protein(probable substrate dipeptide/oligopeptide)	VNG_2529G,VNG_RS09905,VNG2529G
VNG_2531G	ABC-type transport system permease protein(probable substrate dipeptide/oligopeptide)	VNG_2531G,VNG_RS09910,VNG2531G
VNG_2532H	uncharacterized protein	VNG_2532H,VNG_RS09915,VNG2532H
VNG_2533G	dihydroorotase	VNG_2533G,VNG_RS09920,VNG2533G
VNG_2534C	peptidase M23 family protein	VNG_2534C,VNG_RS09930,VNG2534C
VNG_2535H	PsiE domain protein	VNG_2535H,VNG_RS09935,VNG2535H
VNG_2536C	lipoate--protein ligase domain protein	VNG_2536C,VNG_RS09925,VNG2536C
VNG_2537G	isochorismatase family protein	VNG_2537G,VNG_RS09940,VNG2537G
VNG_2539H	uncharacterized protein	VNG_2539H,VNG_RS09945,VNG2539H
VNG_2541C	nicotinate phosphoribosyltransferase	VNG_2541C,VNG_RS09950,VNG2541Cm
VNG_2543C	AMMECR1 domain protein	VNG_2543C,VNG_RS09955,VNG2543C
VNG_2544H	uncharacterized protein	VNG_2544H,VNG2544H
VNG_2546G	aminopeptidase (homolog to leucyl aminopeptidase/ aminopeptidase T)	VNG_2546G,VNG_RS09960,VNG2546G
VNG_2547G	valine--tRNA ligase	VNG_2547G,VNG_RS09965,VNG2547G
VNG_2549C	ABC-type transport system periplasmicsubstrate-binding protein	VNG_2549C,VNG_RS09970,VNG2549C
VNG_2551G	ABC-type transport system permease protein	VNG_2551G,VNG_RS09975,VNG2551G
VNG_2552G	ABC-type transport system ATP-binding protein	VNG_2552G,VNG_RS09980,VNG2552G
VNG_2553G	6-phosphogluconate dehydrogenase (NAD-dependent,decarboxylating)	VNG_2553G,VNG_RS09985,VNG2553G
VNG_2554H	ThiJ/PfpI domain protein	VNG_2554H,VNG_RS09990,VNG2554H
VNG_2555C	ferredoxin (2Fe-2S)	VNG_2555C,VNG_RS09995,VNG2555C
VNG_2556H	uncharacterized protein	VNG_2556H,VNG_RS10005,VNG2556H
VNG_2558G	ABC-type transport system ATP-binding protein	VNG_2558G,VNG_RS10010,VNG2558G
VNG_2560G	ABC-type transport system permease protein	VNG_2560G,VNG_RS10015,VNG2560G
VNG_2562H	ABC-type transport system periplasmicsubstrate-binding protein	VNG_2562H,VNG_RS10020,VNG2562H
VNG_2563H	HTH domain protein	VNG_2563H,VNG_RS10025,VNG2563H
VNG_2565a	uncharacterized protein	VNG_2565a,VNG_RS14010
VNG_2565G	Trk-type transport system (probable substratepotassium)	VNG_2565G,VNG_RS10030,VNG2565G
VNG_2566H	uncharacterized protein	VNG_2566H,VNG_RS10035,VNG2566H
VNG_2567C	ArlG2 protein (homolog to arl cluster proteinArlG)	VNG_2567C,VNG_RS10045,VNG2567C
VNG_2569H	uncharacterized protein	VNG_2569H,VNG_RS10050,VNG2569H
VNG_2570G	dUTP diphosphatase	VNG_2570G,VNG_RS10055,VNG2570G
VNG_2573G	serine protease halolysin	VNG_2573G,VNG_RS10060,VNG2573G
VNG_2574G	aconitate hydratase	VNG_2574G,VNG_RS10065,VNG2574G
VNG_2575G	GNAT family acetyltransferase	VNG_2575G,VNG_RS10070,VNG2575G
VNG_2576H	uncharacterized protein	VNG_2576H,VNG_RS10075,VNG2576H
VNG_2577C	uncharacterized protein	VNG_2577C,VNG_RS10080,VNG2577C
VNG_2579G	SirR/DtxR family transcription regulator Idr1	VNG_2579G,VNG_RS10085,VNG2579G
VNG_2580C	NUDIX family hydrolase	VNG_2580C,VNG_RS10090,VNG2580C
VNG_2581H	HMA domain protein	VNG_2581H,VNG_RS10095,VNG2581H
VNG_2582H	rhodanese domain protein	VNG_2582H,VNG_RS10100,VNG2582H
VNG_2584C	translation initiation factor aIF-1 (SUI1protein, bacterial-type IF3)	VNG_2584C,VNG_RS10105,VNG2584C
VNG_2585H	uncharacterized protein	VNG_2585H,VNG_RS10110,VNG2585H
VNG_2586C	coenzyme F420:L-glutamate ligase	VNG_2586C,VNG_RS10115,VNG2586C
VNG_2587C	probable GTP-binding protein EngB	VNG_2587C,VNG_RS10120,VNG2587C
VNG_2589C	SIMPL domain protein	VNG_2589C,VNG_RS10125,VNG2589C
VNG_2591C	DUF389 family protein	VNG_2591C,VNG_RS10130,VNG2591C
VNG_2593H	NifU C-terminal domain protein	VNG_2593H,VNG_RS10135,VNG2593H
VNG_2594C	uncharacterized protein	VNG_2594C,VNG_RS10145,VNG2594C
VNG_2595G	probable GTP-binding protein	VNG_2595G,VNG_RS10140,VNG2595G
VNG_2596G	phosphoribosyl-ATP pyrophosphatase	VNG_2596G,VNG_RS10150,VNG2596G
VNG_2597C	DUF151 family protein	VNG_2597C,VNG_RS10155,VNG2597C
VNG_2598G	pyridoxal 5'-phosphate synthase subunit PdxT	VNG_2598G,VNG_RS10160,VNG2598G
VNG_2599H	protein translocase subunit SecG	VNG_2599H,VNG_RS10165,VNG2599H
VNG_2600G	thioredoxin	VNG_2600G,VNG_RS10170,VNG2600G
VNG_2602G	DASS family transport protein	VNG_2602G,VNG_RS10175,VNG2602G
VNG_2603H	uncharacterized protein	VNG_2603H,VNG_RS10180,VNG2603H
VNG_2604G	adenosine diphosphate thiazole synthase, cysteine-dependent	VNG_2604G,VNG_RS10185,VNG2604Gm
VNG_2606G	phosphomethylpyrimidine kinase / phosphomethylpyrimidine phosphate kinase /thiamine-phosphate synthase	VNG_2606G,VNG_RS10190,VNG2606G
VNG_2607C	F420H2:NADP oxidoreductase	VNG_2607C,VNG_RS10195,VNG2607C
VNG_2608a	UPF0146 family protein	VNG_2608a,VNG_RS10205,VNG2608a
VNG_2608C	HAD superfamily hydrolase	VNG_2608C,VNG_RS10200,VNG2608C
VNG_2610C	archaemetzincin	VNG_2610C,VNG_RS10210,VNG2610C
VNG_2611G	ribosome-associating GTPase HflX	VNG_2611G,VNG_RS10215,VNG2611G
VNG_2612G	ABCE1 family ribosome recycling factor	VNG_2612G,VNG_RS10220,VNG2612G
VNG_2613H	uncharacterized protein	VNG_2613H,VNG_RS10225,VNG2613H
VNG_2614H	NP_1176A family transcription regulator	VNG_2614H,VNG_RS10230,VNG2614H
VNG_2615C	arNOG04375 family protein (homolog to PilT-typeATPase)	VNG_2615C,VNG_RS10235,VNG2615C
VNG_2616G	metal-dependent carboxypeptidase	VNG_2616G,VNG_RS10240,VNG2616G
VNG_2617G	alcohol dehydrogenase (NADP)	VNG_2617G,VNG_RS10245,VNG2617G
VNG_2619H	small CPxCG-related zinc finger protein	VNG_2619H,VNG_RS14265,VNG2619H
VNG_2620G	repair helicase UvrD	VNG_2620G,VNG_RS10250,VNG2620G
VNG_2622a	uncharacterized protein	VNG_2622a,VNG_RS10260
VNG_2622H	peptidase M24 family protein	VNG_2622H,VNG_RS10255,VNG2622H
VNG_2624G	riboflavin synthase	VNG_2624G,VNG_RS10265,VNG2624G
VNG_2625C	PrsW family protein	VNG_2625C,VNG_RS10270,VNG2625C
VNG_2626H	uncharacterized protein	VNG_2626H,VNG2626H
VNG_2627C	probable ribonuclease FAU-1	VNG_2627C,VNG_RS10275,VNG2627C
VNG_2628H	NifU C-terminal domain protein	VNG_2628H,VNG_RS10280,VNG2628H
VNG_2629G	glucokinase	VNG_2629G,VNG_RS10285,VNG2629G
VNG_2631H	DUF124 family protein	VNG_2631H,VNG_RS10290,VNG2631H
VNG_2632G	probable oxidoreductase (short-chaindehydrogenase family)	VNG_2632G,VNG_RS10295,VNG2632G
VNG_2633H	uncharacterized protein	VNG_2633H,VNG_RS10300,VNG2633H
VNG_2634H	uncharacterized protein	VNG_2634H,VNG_RS10305,VNG2634H
VNG_2636G	UvrABC system protein A	VNG_2636G,VNG_RS10310,VNG2636G
VNG_2637H	uncharacterized protein	VNG_2637H,VNG_RS10315,VNG2637H
VNG_2638G	FAD-dependent oxidoreductase (homolog togeranylgeranyl reductase)	VNG_2638G,VNG_RS10320,VNG2638G
VNG_2639G	probable nucleotide sugar epimerase	VNG_2639G,VNG_RS10325,VNG2639G
VNG_2640G	homolog to glycine cleavage system protein T	VNG_2640G,VNG_RS10330,VNG2640G
VNG_2641H	uncharacterized protein	VNG_2641H,VNG_RS10335,VNG2641H
VNG_2642H	uncharacterized protein	VNG_2642H,VNG_RS10340,VNG2642H
VNG_2643H	uncharacterized protein	VNG_2643H,VNG_RS10345,VNG2643H
VNG_2644a	DUF1028 family protein	VNG_2644a,VNG_RS10355,VNG2644a
VNG_2644C	probable SepF protein	VNG_2644C,VNG_RS10350,VNG2644C
VNG_2645H	small CPxCG-related zinc finger protein	VNG_2645H,VNG_RS10365,VNG2645H
VNG_2646C	PUA domain protein	VNG_2646C,VNG_RS10360,VNG2646C
VNG_2647G	ribonuclease R	VNG_2647G,VNG_RS10370,VNG2647G
VNG_2648G	30S ribosomal protein S10a	VNG_2648G,VNG_RS10380,VNG2648G
VNG_2649G	translation elongation factor aEF-1 alpha /peptide chain release factor aRF-3	VNG_2649G,VNG_RS10385,VNG2649G
VNG_2650a	ACT domain protein	VNG_2650a,VNG_RS10395
VNG_2650b	uncharacterized protein	VNG_2650b
VNG_2650G	homoserine dehydrogenase	VNG_2650G,VNG_RS10390,VNG2650G
VNG_2652H	IS1341-type transposase ISH34	VNG_2652H,VNG_RS10400,VNG2652H
VNG_2653C	IS200-type transposase ISH34	VNG_2653C,VNG_RS10405,VNG2653C
VNG_2654G	translation elongation factor aEF-2	VNG_2654G,VNG_RS10410,VNG2654Gm
VNG_2656H	uncharacterized protein	VNG_2656H,VNG_RS10415,VNG2656H
VNG_2657G	30S ribosomal protein S7	VNG_2657G,VNG_RS10420,VNG2657G
VNG_2658G	30S ribosomal protein S12	VNG_2658G,VNG_RS10425,VNG2658G
VNG_2661G	transcription elongation factor NusA	VNG_2661G,VNG_RS10430,VNG2661G
VNG_2662G	DNA-directed RNA polymerase subunit A''	VNG_2662G,VNG_RS10435,VNG2662G
VNG_2664G	DNA-directed RNA polymerase subunit A'	VNG_2664G,VNG_RS10440,VNG2664Gm
VNG_2665G	DNA-directed RNA polymerase subunit B'	VNG_2665G,VNG_RS10445,VNG2665G
VNG_2666G	DNA-directed RNA polymerase subunit B''	VNG_2666G,VNG_RS10450,VNG2666G
VNG_2668G	DNA-directed RNA polymerase subunit H	VNG_2668G,VNG_RS14370,VNG2668G
VNG_2669a	uncharacterized protein (N-term) (nonfunctional)	VNG_2669a,VNG_RS10470
VNG_2669c	uncharacterized protein (C-term) (nonfunctional)	VNG_2669c,VNG_RS10480
VNG_2669G	archaeosortase A	VNG_2669G,VNG_RS10465,VNG2669G
VNG_2673H	spurious ORF	VNG_2673H,VNG2673H
VNG_2674H	uncharacterized protein	VNG_2674H,VNG_RS10485,VNG2674H
VNG_2675C	TetR family transcription regulator	VNG_2675C,VNG_RS10490,VNG2675C
VNG_2677H	probable secreted glycoprotein	VNG_2677H,VNG_RS10495,VNG2677H
VNG_2678H	probable secreted glycoprotein	VNG_2678H,VNG_RS10500,VNG2678H
VNG_2679G	S-layer glycoprotein	VNG_2679G,VNG_RS10505,VNG2679G
VNG_6109H	spurious ORF	VNG_6109H,VNG5112H,VNG6109H
VNG_6133H	spurious ORF	VNG_6133H,VNG6133H
VNG_6142C	uncharacterized protein	VNG_6142C,VNG_RS11045,VNG6142C
VNG_6143H	uncharacterized protein	VNG_6143H,VNG_RS11050,VNG6143H
VNG_6144G	uncharacterized protein	VNG_6144G,VNG_RS11055,VNG6144G
VNG_6145a	uncharacterized protein (nonfunctional)	VNG_6145a
VNG_6145H	uncharacterized protein	VNG_6145H,VNG_RS11060,VNG6145H
VNG_6148H	ISH8-type transposase ISH32	VNG_6148H,VNG_RS11075,VNG6148H
VNG_6149H	uncharacterized protein	VNG_6149H,VNG_RS14055,VNG6149H
VNG_6153G	ParA domain protein	VNG_6153G,VNG_RS11095,VNG6153G
VNG_6155H	uncharacterized protein	VNG_6155H,VNG_RS11100,VNG6155H
VNG_6156b	uncharacterized protein	VNG_6156b,VNG_RS13490
VNG_6156H	uncharacterized protein (nonfunctional)	VNG_6156H,VNG_RS13485,VNG6156H
VNG_6157H	uncharacterized protein	VNG_6157H,VNG_RS13495,VNG6157H
VNG_6158H	uncharacterized protein (nonfunctional)	VNG_6158H,VNG_RS14275,VNG6158H
VNG_6159H	uncharacterized protein	VNG_6159H,VNG6159H
VNG_6160H	uncharacterized protein (C-term) (nonfunctional)	VNG_6160H,VNG_RS11110,VNG6160H
VNG_6162H	uncharacterized protein (N-term) (nonfunctional)	VNG_6162H,VNG_RS11120,VNG6162H
VNG_6164G	Orc1-type DNA replication protein(nonfunctional)	VNG_6164G,VNG_6363G,VNG_RS11130,VNG_RS11810,VNG6363G
VNG_6165a	ArsR family transcription regulator(nonfunctional)	VNG_6165a
VNG_6165H	uncharacterized protein	VNG_6165H,VNG_RS11135,VNG6165H
VNG_6166H	homolog to endonuclease VapC	VNG_6166H,VNG_RS11145,VNG6166H
VNG_6168H	homolog to antitoxin VapB	VNG_6168H,VNG_RS11150,VNG6168H
VNG_6170H	spurious ORF	VNG_6170H,VNG6170H
VNG_6171H	uncharacterized protein	VNG_6171H,VNG_RS13500,VNG6171H
VNG_6173C	Smc-like protein Sph2	VNG_6173C,VNG_RS11165,VNG6173C
VNG_6175a	potassium-transporting ATPase subunit F	VNG_6175a,VNG_RS11175
VNG_6175G	TrkA domain protein	VNG_6175G,VNG_RS11170,VNG6175G
VNG_6176G	potassium-transporting ATPase subunit A	VNG_6176G,VNG_RS11180,VNG6176G
VNG_6177G	potassium-transporting ATPase subunit B	VNG_6177G,VNG_RS11185,VNG6177G
VNG_6178G	potassium-transporting ATPase subunit C	VNG_6178G,VNG_RS11190,VNG6178G
VNG_6179G	UspA domain protein KdpQ	VNG_6179G,VNG_RS11195,VNG6179G
VNG_6180a	uncharacterized protein	VNG_6180a
VNG_6180H	uncharacterized protein	VNG_6180H,VNG_RS11200,VNG6180H
VNG_6181H	IS1341-type transposase ISH35	VNG_6181H,VNG_RS11205,VNG6181H
VNG_6182H	IS200-type transposase ISH35	VNG_6182H,VNG_RS11210,VNG6182H
VNG_6183C	DHH/RecJ family phosphoesterase	VNG_6183C,VNG_RS11215,VNG6183C
VNG_6184G	UspA domain protein	VNG_6184G,VNG_RS11220,VNG6184G
VNG_6185H	uncharacterized protein	VNG_6185H,VNG6185H
VNG_6186H	DNA-directed DNA polymerase B2 (nonfunctional)	VNG_6186H,VNG_RS13515,VNG6186H
VNG_6187a	uncharacterized protein	VNG_6187a
VNG_6187G	Orc1-type DNA replication protein(nonfunctional)	VNG_6187G,VNG_RS13520,VNG6187G
VNG_6188H	uncharacterized protein	VNG_6188H,VNG_RS11225,VNG6188H
VNG_6189H	PQQ repeat protein (nonfunctional)	VNG_6189H,VNG_RS11230,VNG6189H
VNG_6191H	RelE family protein (nonfunctional)	VNG_6191H,VNG_RS11235,VNG6191H
VNG_6193H	CopG domain protein	VNG_6193H,VNG_RS11240,VNG6193H
VNG_6194H	uncharacterized protein	VNG_6194H,VNG_RS14280,VNG6194H
VNG_6195H	small CPxCG-related zinc finger protein	VNG_6195H,VNG6195H
VNG_6199G	AAA-type ATPase (CDC48 subfamily)	VNG_6199G,VNG_RS11250,VNG6199G
VNG_6201G	Hsp20-type molecular chaperone	VNG_6201G,VNG_RS11255,VNG6201G
VNG_6203a	chimeric protein (nonfunctional)	VNG_6203a
VNG_6203H	uncharacterized protein	VNG_6203H,VNG_RS13530,VNG6203H
VNG_6204H	spurious ORF	VNG_6204H,VNG_RS14375,VNG6204H
VNG_6205C	UspA domain protein	VNG_6205C,VNG_RS11265,VNG6205C
VNG_6206H	uncharacterized protein	VNG_6206H,VNG_RS11270,VNG6206H
VNG_6208C	stomatin family protein	VNG_6208C,VNG_RS11275,VNG6208C
VNG_6209H	homolog to HGPV8-ORF82	VNG_6209H,VNG_RS14290,VNG6209H
VNG_6210G	diaminobutyrate--2-oxoglutarateaminotransferase	VNG_6210G,VNG_RS11280,VNG6210G
VNG_6211G	diaminobutyrate decarboxylase	VNG_6211G,VNG_RS11285,VNG6211G
VNG_6212G	siderophore biosynthesis protein IucA	VNG_6212G,VNG_RS11290,VNG6212G
VNG_6213G	probable N4-hydroxy-1-aminopropaneO-acetyltransferase	VNG_6213G,VNG_RS11295,VNG6213G
VNG_6214G	probable 1,3-diaminopropane N-3-monooxygenase	VNG_6214G,VNG_RS11300,VNG6214G
VNG_6216G	siderophore biosynthesis protein IucC	VNG_6216G,VNG_RS11305,VNG6216G
VNG_6218G	TrkA domain protein	VNG_6218G,VNG_RS11310,VNG6218G
VNG_6220G	transport protein (probable substrate cationicamino acids)	VNG_6220G,VNG_RS11315,VNG6220G
VNG_6221H	IS1341-type transposase HsIRS6	VNG_6221H,VNG_RS11320,VNG6221H
VNG_6222H	spurious ORF	VNG_6222H,VNG6222H
VNG_6223C	TrkA domain protein	VNG_6223C,VNG_RS11330,VNG6223C
VNG_6224H	uncharacterized protein	VNG_6224H,VNG6224H
VNG_6225C	ParA domain protein	VNG_6225C,VNG_RS11335,VNG6225C
VNG_6226a	gas-vesicle-associated protein GvpM	VNG_6226a,VNG_RS11345
VNG_6226H	uncharacterized protein	VNG_6226H,VNG_RS11340,VNG6226H
VNG_6229G	gas-vesicle-associated protein GvpL	VNG_6229G,VNG_RS11350,VNG6229G
VNG_6230G	gas-vesicle operon protein GvpK	VNG_6230G,VNG_RS11355,VNG6230G
VNG_6232G	gas-vesicle-associated protein GvpJ	VNG_6232G,VNG_RS11360,VNG6232G
VNG_6233G	gas-vesicle operon protein GvpI	VNG_6233G,VNG_RS11365,VNG6233G
VNG_6235G	gas-vesicle operon protein GvpH	VNG_6235G,VNG_RS11370,VNG6235G
VNG_6236G	gas-vesicle-associated protein GvpG	VNG_6236G,VNG_RS11375,VNG6236G
VNG_6237G	gas-vesicle-associated protein GvpF	VNG_6237G,VNG_RS11380,VNG6237G
VNG_6239G	PadR family transcription activator GvpE	VNG_6239G,VNG_RS11385,VNG6239G
VNG_6240G	regulatory protein GvpD	VNG_6240G,VNG_RS11390,VNG6240G
VNG_6242G	gas-vesicle minor protein GvpC	VNG_6242G,VNG_RS11400,VNG6242G
VNG_6244G	gas-vesicle operon protein GvpN	VNG_6244G,VNG_RS11405,VNG6244G
VNG_6246G	gas-vesicle operon protein GvpO	VNG_6246G,VNG_RS11410,VNG6246G
VNG_6247G	TrkA domain protein	VNG_6247G,VNG_RS11415,VNG6247G
VNG_6250G	transport protein (probable substratephosphate/sulfate)	VNG_6250G,VNG_RS11420,VNG6250G
VNG_6251H	DUF2078 family protein	VNG_6251H,VNG_RS11425,VNG6251H
VNG_6254C	homolog to autoinducer-2-degrading protein lsrG	VNG_6254C,VNG_RS11430,VNG6254C
VNG_6255C	uncharacterized protein	VNG_6255C,VNG_RS11435,VNG6255C
VNG_6256G	lipoate--protein ligase domain protein	VNG_6256G,VNG_RS11440,VNG6256G
VNG_6258C	amidohydrolase domain protein	VNG_6258C,VNG_RS11445,VNG6258C
VNG_6260G	FtsZ family protein, noncanonical	VNG_6260G,VNG_RS11450,VNG6260G
VNG_6261G	SNF family transport protein	VNG_6261G,VNG_RS11455,VNG6261G
VNG_6262G	ABC-type transport system permease protein(probable substrate zinc)	VNG_6262G,VNG_RS11460,VNG6262G
VNG_6264G	ABC-type transport system ATP-binding protein(probable substrate zinc)	VNG_6264G,VNG_RS11465,VNG6264G
VNG_6265G	ABC-type transport system periplasmicsubstrate-binding protein (probable substrate zinc)	VNG_6265G,VNG_RS11470,VNG6265G
VNG_6266H	uncharacterized protein	VNG_6266H,VNG_RS13545,VNG6266H
VNG_6268C	OPT family transport protein	VNG_6268C,VNG_RS11475,VNG6268C
VNG_6269C	uncharacterized protein	VNG_6269C,VNG_RS11480,VNG6269C
VNG_6270G	glycerol dehydrogenase	VNG_6270G,VNG_RS11485,VNG6270G
VNG_6272G	Orc1-type DNA replication protein	VNG_6272G,VNG_RS11490,VNG6272G
VNG_6275a	NifU C-terminal domain protein	VNG_6275a,VNG_RS11495
VNG_6275H	spurious ORF	VNG_6275H,VNG6275H
VNG_6276H	uncharacterized protein	VNG_6276H,VNG_RS14295,VNG6276H
VNG_6277G	ABC-type transport system periplasmic substrate-binding protein (probable substrateglycerol-3-phosphate)	VNG_6277G,VNG_RS11500,VNG6277G
VNG_6279G	ABC-type transport system permease protein(probable substrate glycerol-3-phosphate)	VNG_6279G,VNG_RS11505,VNG6279G
VNG_6280G	ABC-type transport system permease protein(probable substrate glycerol-3-phosphate)	VNG_6280G,VNG_RS11510,VNG6280G
VNG_6281G	ABC-type transport system ATP-binding protein(probable substrate glycerol-3-phosphate)	VNG_6281G,VNG_RS11515,VNG6281G
VNG_6283H	uncharacterized protein	VNG_6283H,VNG_RS11520,VNG6283H
VNG_6286H	uncharacterized protein	VNG_6286H,VNG_RS11530,VNG6286H
VNG_6287H	HTH domain protein	VNG_6287H,VNG_RS13550,VNG6287H
VNG_6288a	RelE family protein	VNG_6288a,VNG_RS11540
VNG_6288C	CopG domain protein	VNG_6288C,VNG_RS11535,VNG6288C
VNG_6291H	uncharacterized protein	VNG_6291H,VNG6291H
VNG_6292C	ISH14-type transposase HsIRS44	VNG_6292C,VNG_RS13560,VNG6292C
VNG_6293C	DMT superfamily transport protein	VNG_6293C,VNG_RS11550,VNG6293C
VNG_6294G	catalase-peroxidase	VNG_6294G,VNG_RS11555,VNG6294G
VNG_6296C	alpha/beta hydrolase fold protein	VNG_6296C,VNG_RS11560,VNG6296C
VNG_6297C	PQQ repeat protein	VNG_6297C,VNG_RS13565,VNG6297C
VNG_6298C	3-oxoacid CoA-transferase	VNG_6298C,VNG_RS11565,VNG6298C
VNG_6299G	HypE family protein	VNG_6299G,VNG_RS11570,VNG6299G
VNG_6301G	alkaline phosphatase	VNG_6301G,VNG_RS11575,VNG6301G
VNG_6302C	DUF21/CBS domain protein	VNG_6302C,VNG_RS11580,VNG6302C
VNG_6303G	7-cyano-7-deazaguanine synthase	VNG_6303G,VNG_RS11585,VNG6303G
VNG_6305C	7-carboxy-7-deazaguanine synthase	VNG_6305C,VNG_RS11590,VNG6305C
VNG_6306C	6-carboxy-5,6,7,8-tetrahydropterin synthase	VNG_6306C,VNG_RS11595,VNG6306C
VNG_6308G	SDF family transport protein (probable substrateglutamate/aspartate)	VNG_6308G,VNG_RS11600,VNG6308G
VNG_6309G	aspartate carbamoyltransferase catalyticsubunit	VNG_6309G,VNG_RS11605,VNG6309G
VNG_6311G	aspartate carbamoyltransferase regulatorysubunit	VNG_6311G,VNG_RS11610,VNG6311G
VNG_6312G	arginine--tRNA ligase	VNG_6312G,VNG_RS11615,VNG6312G
