representative	gene_symbol	cog_id	cog_name	cog_category	functional_pathway
VNG_2217G	AcoA	COG1071	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	Energy production and conversion	Pyruvate oxidation
VNG_2218G	AcoB	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	Energy production and conversion	Pyruvate oxidation
VNG_2219G	AceF	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	Energy production and conversion	Pyruvate oxidation
VNG_2220G	Lpd	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	Energy production and conversion	Glycine cleavagePyruvate oxidation
VNG_2222G	PheA2	COG0077	Prephenate dehydratase	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_2223G	LeuS	COG0495	Leucyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2224G	OCDMu	COG2423	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family	Amino acid transport and metabolism	Proline biosynthesis
VNG_2226G	GroEL	COG0459	Chaperonin GroEL (HSP60 family)	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2227C	Krr1	COG1094	rRNA processing protein Krr1/Pno1, contains KH domain	Translation, ribosomal structure and biogenesis	Undefined
VNG_2232G	TrpS	COG0180	Tryptophanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2233C	RIO1	COG1718	Serine/threonine-protein kinase RIO1	Signal transduction mechanisms	Undefined
VNG_2234G	InfA	COG0361	Translation initiation factor IF-1	Translation, ribosomal structure and biogenesis	Translation factors
VNG_2237G	TyrS	COG0162	Tyrosyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2238C	Undefined	COG2433	Possible nuclease of RNase H fold, RuvC/YqgF family	General function prediction only	Undefined
VNG_2239C	ElaC	COG1234	Ribonuclease BN, tRNA processing enzyme	Translation, ribosomal structure and biogenesis	Undefined
VNG_2240G	HolB	COG0470	DNA polymerase III, delta prime subunit	Replication, recombination and repair	Undefined
VNG_2243G	SPT15	COG2101	TATA-box binding protein (TBP), component of TFIID and TFIIIB	Transcription	Undefined
VNG_2247G	HisG	COG0040	ATP phosphoribosyltransferase	Amino acid transport and metabolism	Histidine biosynthesis
VNG_2249G	SsnA	COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_2251G	SAM1	COG0499	S-adenosylhomocysteine hydrolase	Coenzyme transport and metabolism	Undefined
VNG_2252G	Undefined	COG1591	Holliday junction resolvase Hjc, archaeal type	Replication, recombination and repair	Undefined
VNG_2254C	PRI2	COG2219	Eukaryotic-type DNA primase, large subunit	Replication, recombination and repair	Undefined
VNG_2255C	Psd	COG0688	Phosphatidylserine decarboxylase	Lipid transport and metabolism	Phospholipid biosynthesis
VNG_2257G	ECM27	COG0530	Ca2+/Na+ antiporter	Inorganic ion transport and metabolism	Undefined
VNG_2259C	PpcA	COG1892	Phosphoenolpyruvate carboxylase	Carbohydrate transport and metabolism	Undefined
VNG_2262a	TesA	COG2755	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_2263G	RlmE|Undefined	COG0293|COG3269	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ|Predicted RNA-binding protein, contains TRAM domain	Translation, ribosomal structure and biogenesis|General function prediction only	23S rRNA modification|Undefined
VNG_2264C	YhhQ	COG1738	Queuosine precursor transporter YhhQ, DUF165 family	Translation, ribosomal structure and biogenesis	Undefined
VNG_2267G	TatC	COG0805	Twin-arginine protein secretion pathway component TatC	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2269G	TatC	COG0805	Twin-arginine protein secretion pathway component TatC	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2270G	MutS2	COG1193	dsDNA-specific endonuclease/ATPase MutS2	Replication, recombination and repair	Undefined
VNG_2271G	CDC6	COG1474	Cdc6-related protein, AAA superfamily ATPase	Replication, recombination and repair	Undefined
VNG_2272G	RpiA	COG0120	Ribose 5-phosphate isomerase	Carbohydrate transport and metabolism	Pentose phosphate pathway
VNG_2274C	YhbQ	COG2827	Predicted endonuclease, GIY-YIG superfamily	Replication, recombination and repair	Undefined
VNG_2276G	ManB	COG1109	Phosphomannomutase	Carbohydrate transport and metabolism	Undefined
VNG_2279H	ThiS	COG2104	Sulfur carrier protein ThiS (thiamine biosynthesis)	Coenzyme transport and metabolism	Thiamine biosynthesis
VNG_2280G	HolB	COG0470	DNA polymerase III, delta prime subunit	Replication, recombination and repair	Undefined
VNG_2281C	ECM4	COG0435	Glutathionyl-hydroquinone reductase	Energy production and conversion	Undefined
VNG_2282C	DsbG	COG1651	Protein thiol-disulfide isomerase DsbC	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2283G	AlaS	COG0013	Alanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2284G	HisI1	COG0139	Phosphoribosyl-AMP cyclohydrolase	Amino acid transport and metabolism	Histidine biosynthesis
VNG_2285C	PulO	COG1989	Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase	Cell motility	Undefined
VNG_2286G	Sbm	COG2185	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	Lipid transport and metabolism	Undefined
VNG_2288G	GlmE	COG4865	Glutamate mutase epsilon subunit	Amino acid transport and metabolism	Undefined
VNG_2289G	Mal	COG3799	Methylaspartate ammonia-lyase	Amino acid transport and metabolism	Undefined
VNG_2290G	MaoC	COG2030	Acyl-CoA dehydratase PaaZ	Lipid transport and metabolism	Undefined
VNG_2291G	ACH1	COG0427	Propionyl CoA:succinate CoA transferase	Energy production and conversion	Undefined
VNG_2293G	Fdx	COG0633	Ferredoxin	Energy production and conversion	Undefined
VNG_2294G	HisA	COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	Amino acid transport and metabolism	Histidine biosynthesis
VNG_2295G	HisB2	COG0131	Imidazoleglycerol phosphate dehydratase HisB	Amino acid transport and metabolism	Histidine biosynthesis
VNG_2296C	Undefined	COG2150	Predicted regulator of amino acid metabolism, contains ACT domain	General function prediction only	Undefined
VNG_2298a	YIH1	COG1739	Putative translation regulator, IMPACT (imprinted ancient) protein family	General function prediction only	Undefined
VNG_2302G	DAP2	COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	Amino acid transport and metabolism	Undefined
VNG_2305C	Upp	COG0035	Uracil phosphoribosyltransferase	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_2307C	PitA	COG0306	Phosphate/sulfate permease	Inorganic ion transport and metabolism	Undefined
VNG_2308G	TlyC	COG1253	Hemolysin-related protein, contains CBS domains, UPF0053 family	General function prediction only	Undefined
VNG_2310H	GrxC	COG0695	Glutaredoxin	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2311H	Bcp	COG1225	Peroxiredoxin	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2312C	TsaC	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_2316C	BioY	COG1268	Biotin transporter BioY	Coenzyme transport and metabolism	Undefined
VNG_2317a	EcfT	COG0619	ECF-type transporter transmembrane protein EcfT	Coenzyme transport and metabolism	Undefined
VNG_2317G	EcfA2	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	Inorganic ion transport and metabolism	Undefined
VNG_2320G	GlpC	COG0247	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF	Energy production and conversion	Undefined
VNG_2321G	RimL	COG1670	Protein N-acetyltransferase, RimJ/RimL family	Translation, ribosomal structure and biogenesis	Undefined
VNG_2322G	HemB	COG0113	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	Coenzyme transport and metabolism	Heme biosynthesis
VNG_2326G	HemL	COG0001	Glutamate-1-semialdehyde aminotransferase	Coenzyme transport and metabolism	Heme biosynthesis
VNG_2330G	HemC	COG0181	Porphobilinogen deaminase	Coenzyme transport and metabolism	Heme biosynthesis
VNG_2331G	CysG	COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis
VNG_2332G	HemD	COG1587	Uroporphyrinogen-III synthase	Coenzyme transport and metabolism	Heme biosynthesis
VNG_2333C	RecJ	COG0608	ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation	Replication, recombination and repair	Undefined
VNG_2334C	PAS|GAF	COG2202|COG2203	PAS domain|GAF domain	Signal transduction mechanisms	Undefined
VNG_2337C	NifU	COG0694	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2338G	PolC	COG1933	Archaeal DNA polymerase II, large subunit	Replication, recombination and repair	Undefined
VNG_2339C	AF0104	COG1661	Predicted DNA-binding protein with PD1-like DNA-binding motif, PPC/DUF296 domain	General function prediction only	Undefined
VNG_2343G	AppF	COG4608	ABC-type oligopeptide transport system, ATPase component	Amino acid transport and metabolism	Undefined
VNG_2344G	DppD	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	Amino acid transport and metabolism	Undefined
VNG_2347G	DppB	COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	Amino acid transport and metabolism	Undefined
VNG_2352G	GRS1	COG0423	Glycyl-tRNA synthetase, class II	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2353H	SEC59	COG0170	Dolichol kinase	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2356G	MPH1|MUS81	COG1111|COG1948	ERCC4-related helicase|ERCC4-type crossover junction endonuclease	Replication, recombination and repair	Undefined
VNG_2358G	DdpA	COG0747	ABC-type transport system, periplasmic component	Amino acid transport and metabolism	Undefined
VNG_2359G	DppB	COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	Amino acid transport and metabolism	Undefined
VNG_2361G	DppC	COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	Amino acid transport and metabolism	Undefined
VNG_2363G	DppD	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	Amino acid transport and metabolism	Undefined
VNG_2365G	DppD	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	Amino acid transport and metabolism	Undefined
VNG_2366C	Undefined	COG1645	Uncharacterized Zn-finger containing protein, UPF0148 family	General function prediction only	Undefined
VNG_2367G	Mdh	COG0039	Malate/lactate dehydrogenase	Energy production and conversion	TCA cycle
VNG_2368G	BRR2	COG1204	Replicative superfamily II helicase	Replication, recombination and repair	Undefined
VNG_2370C	Fer	COG1141	Ferredoxin	Energy production and conversion	Undefined
VNG_2371C	PurO	COG3363	Archaeal IMP cyclohydrolase	Nucleotide transport and metabolism	Purine biosynthesis
VNG_2372G	YfcE	COG0622	Predicted phosphodiesterase, calcineurin family	General function prediction only	Undefined
VNG_2373G	TnaA	COG3033	Tryptophanase	Amino acid transport and metabolism	Undefined
VNG_2374G	MetL1	COG0527	Aspartate kinase	Amino acid transport and metabolism	Lysine biosynthesis
VNG_2377G	NosY	COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2378G	CcmA	COG1131	ABC-type multidrug transport system, ATPase component	Defense mechanisms	Undefined
VNG_2381G	UvrC	COG0322	Excinuclease UvrABC, nuclease subunit	Replication, recombination and repair	Undefined
VNG_2383G	NrdB	COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_2384G	NrdA	COG0209	Ribonucleotide reductase alpha subunit	Nucleotide transport and metabolism	Pyrimidine salvage
VNG_2386C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_2390G	UvrB	COG0556	Excinuclease UvrABC helicase subunit UvrB	Replication, recombination and repair	Undefined
VNG_2393G	SseA	COG2897	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains	Inorganic ion transport and metabolism	Undefined
VNG_2394G	SseA	COG2897	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains	Inorganic ion transport and metabolism	Undefined
VNG_2395C	TbpA	COG4143	ABC-type thiamine transport system, periplasmic component TbpA	Coenzyme transport and metabolism	Undefined
VNG_2396G	FbpB	COG1178	ABC-type Fe3+ transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_2397G	PotA	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	Amino acid transport and metabolism	Undefined
VNG_2404G	NorM	COG0534	Na+-driven multidrug efflux pump, DinF/NorM/MATE family	Defense mechanisms	Undefined
VNG_2408C	Undefined	COG3365	Uncharacterized conserved protein, DUF2073 family	Function unknown	Undefined
VNG_2410G	Gem1	COG1100	GTPase SAR1 family domain	General function prediction only	Undefined
VNG_2411G	CDC6	COG1474	Cdc6-related protein, AAA superfamily ATPase	Replication, recombination and repair	Undefined
VNG_2416G	LepB	COG0681	Signal peptidase I	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2417G	HYS2	COG1311	Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B	Replication, recombination and repair	Undefined
VNG_2418G	PucG	COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	Amino acid transport and metabolism	Serine biosynthesis
VNG_2420G	MET2	COG2021	Homoserine O-acetyltransferase	Amino acid transport and metabolism	Methionine biosynthesis
VNG_2421G	MET17	COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	Amino acid transport and metabolism	Methionine biosynthesis
VNG_2422G	GlpC|GlcD	COG0247|COG0277	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF|FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	Energy production and conversion	Undefined
VNG_2423G	SerB	COG0560	Phosphoserine phosphatase	Amino acid transport and metabolism	Serine biosynthesis
VNG_2424G	SerA	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	Coenzyme transport and metabolism	Serine biosynthesis
VNG_2426G	YciA	COG1607	Acyl-CoA hydrolase	Lipid transport and metabolism	Undefined
VNG_2429G	AraJ	COG2814	Predicted arabinose efflux permease AraJ, MFS family	Carbohydrate transport and metabolism	Undefined
VNG_2430G	ThrC	COG0498	Threonine synthase	Amino acid transport and metabolism	Threonine biosynthesis
VNG_2432C	YbjQ	COG0393	Uncharacterized pentameric protein YbjQ, UPF0145 family	Function unknown	Undefined
VNG_2436G	ArgH	COG0165	Argininosuccinate lyase	Amino acid transport and metabolism	Arginine biosynthesis
VNG_2437G	ArgG	COG0137	Argininosuccinate synthase	Amino acid transport and metabolism	Arginine biosynthesis
VNG_2440H	ThpR	COG1514	RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase)	Translation, ribosomal structure and biogenesis	Undefined
VNG_2441G	DinG	COG1199	Rad3-related DNA helicase DinG	Replication, recombination and repair	Undefined
VNG_2443G	Dps	COG0783	DNA-binding ferritin-like protein (oxidative damage protectant)	Inorganic ion transport and metabolism	Undefined
VNG_2444C	YfcE	COG0622	Predicted phosphodiesterase, calcineurin family	General function prediction only	Undefined
VNG_2447G	GLY1	COG2008	Threonine aldolase	Amino acid transport and metabolism	Undefined
VNG_2449G	AmpS	COG2309	Leucyl aminopeptidase (aminopeptidase T)	Amino acid transport and metabolism	Undefined
VNG_2452C	CoaE	COG0237	Dephospho-CoA kinase	Coenzyme transport and metabolism	Pantothenate/CoA biosynthesis
VNG_2454C	Undefined	COG1931	Predicted RNA binding protein with dsRBD fold, UPF0201 family	General function prediction only	Undefined
VNG_2455C	Undefined	COG3366	Uncharacterized membrane protein	Function unknown	Undefined
VNG_2456C	MgtE2	COG1824	Permease, similar to cation transporters	Inorganic ion transport and metabolism	Undefined
VNG_2458C	MgtE2	COG1824	Permease, similar to cation transporters	Inorganic ion transport and metabolism	Undefined
VNG_2459G	Ffh	COG0541	Signal recognition particle GTPase	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2462G	FtsY	COG0552	Signal recognition particle GTPase FtsY	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2466a	TIF6	COG1976	Translation initiation factor 6 (eIF-6)	Translation, ribosomal structure and biogenesis	Translation factors
VNG_2467G	RPL31A	COG2097	Ribosomal protein L31E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_2469G	RPL39	COG2167	Ribosomal protein L39E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_2470C	Undefined	COG2412	Uncharacterized conserved protein, DUF424 domain	Function unknown	Undefined
VNG_2471G	CsdA	COG0520	Selenocysteine lyase/Cysteine desulfurase	Amino acid transport and metabolism	Undefined
VNG_2472G	IscU	COG0822	Fe-S cluster assembly scaffold protein IscU, NifU family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2473G	RecA	COG0468	RecA/RadA recombinase	Replication, recombination and repair	Undefined
VNG_2474C	NMD3	COG1499	NMD protein affecting ribosome stability and mRNA decay	Translation, ribosomal structure and biogenesis	Undefined
VNG_2475C	Trm5	COG2520	tRNA G37 N-methylase Trm5	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_2476C	DinG	COG1199	Rad3-related DNA helicase DinG	Replication, recombination and repair	Undefined
VNG_2480H	PhoU	COG0704	Phosphate uptake regulator PhoU	Inorganic ion transport and metabolism	Undefined
VNG_2482G	PstB	COG1117	ABC-type phosphate transport system, ATPase component	Inorganic ion transport and metabolism	Undefined
VNG_2484G	PstC	COG0573	ABC-type phosphate transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_2486G	PstS	COG0226	ABC-type phosphate transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_2488C	YbjT	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	General function prediction only	Undefined
VNG_2493C	YciV	COG0613	5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain	Nucleotide transport and metabolism	Undefined
VNG_2499G	CaiA	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_2501C	GuaA1	COG0518	GMP synthase, glutamine amidotransferase domain	Nucleotide transport and metabolism	Purine biosynthesis
VNG_2502C	YdhJ	COG1078	HD superfamily phosphohydrolase	General function prediction only	Undefined
VNG_2504G	PheS	COG0016	Phenylalanyl-tRNA synthetase alpha subunit	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2507G	PyrD	COG0167	Dihydroorotate dehydrogenase	Nucleotide transport and metabolism	Pyrimidine biosynthesis
VNG_2512G	YSH1	COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family	Translation, ribosomal structure and biogenesis	Undefined
VNG_2513G	AdhE	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	Lipid transport and metabolism	Proline degradation
VNG_2514G	RPS6A	COG2125	Ribosomal protein S6E (S10)	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_2516C	RbsK	COG0524	Sugar or nucleoside kinase, ribokinase family	Carbohydrate transport and metabolism	Glycolysis
VNG_2518C	BtpA	COG0434	Membrane biogenesis protein, BtpA/SgcQ family	Cell wall/membrane/envelope biogenesis	Undefined
VNG_2519H	DhhP	COG2404	Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily	Translation, ribosomal structure and biogenesis	Undefined
VNG_2520C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_2522C	RimI	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	Translation, ribosomal structure and biogenesis	Undefined
VNG_2523H	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_2526G	YejF	COG4172	ABC-type microcin C transport system, duplicated ATPase component YejF	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_2527G	DdpA	COG0747	ABC-type transport system, periplasmic component	Amino acid transport and metabolism	Undefined
VNG_2529G	DppB	COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	Amino acid transport and metabolism	Undefined
VNG_2531G	DppC	COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	Amino acid transport and metabolism	Undefined
VNG_2533G	AllB	COG0044	Dihydroorotase or related cyclic amidohydrolase	Nucleotide transport and metabolism	Pyrimidine biosynthesis
VNG_2535H	Undefined	COG3431	Uncharacterized membrane protein, DUF373 family	Function unknown	Undefined
VNG_2536C	LplA	COG0095	Lipoate-protein ligase A	Coenzyme transport and metabolism	Lipoate biosynthesis
VNG_2537G	PncA	COG1335	Nicotinamidase-related amidase	Coenzyme transport and metabolism	Pyrimidine degradation
VNG_2541C	PncB	COG1488	Nicotinic acid phosphoribosyltransferase	Coenzyme transport and metabolism	NAD biosynthesis
VNG_2543C	AMMECR1	COG2078	Predicted RNA modification protein, AMMECR1 domain	General function prediction only	Undefined
VNG_2546G	AmpS	COG2309	Leucyl aminopeptidase (aminopeptidase T)	Amino acid transport and metabolism	Undefined
VNG_2547G	ValS	COG0525	Valyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_2549C	FepB	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_2551G	FepD	COG0609	ABC-type Fe3+-siderophore transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_2552G	FepC	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	Inorganic ion transport and metabolism	Undefined
VNG_2553G	YqeC	COG1023	6-phosphogluconate dehydrogenase (decarboxylating)	Carbohydrate transport and metabolism	Undefined
VNG_2555C	Fdx	COG0633	Ferredoxin	Energy production and conversion	Undefined
VNG_2558G	FepC	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	Inorganic ion transport and metabolism	Undefined
VNG_2560G	FepD	COG0609	ABC-type Fe3+-siderophore transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_2562H	FepB	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_2565G	TrkG	COG0168	Trk-type K+ transport system, membrane component	Inorganic ion transport and metabolism	Undefined
VNG_2567C	FlaG	COG3354	Archaellum component FlaG, FlaF/FlaG flagellin family	Cell motility	Undefined
VNG_2570G	Dcd	COG0717	dCTP deaminase	Nucleotide transport and metabolism	Thymidylate biosynthesis
VNG_2574G	AcnA	COG1048	Aconitase A	Energy production and conversion	Lysine biosynthesisTCA cycle
VNG_2575G	RimI	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	Translation, ribosomal structure and biogenesis	Undefined
VNG_2579G	MntR	COG1321	Mn-dependent transcriptional regulator MntR, DtxR family	Transcription	Undefined
VNG_2581H	CopZ	COG2608	Copper chaperone CopZ	Inorganic ion transport and metabolism	Undefined
VNG_2582H	PspE	COG0607	Rhodanese-related sulfurtransferase	Inorganic ion transport and metabolism	Urea cycle
VNG_2584C	SUI1	COG0023	Translation initiation factor 1 (eIF-1/SUI1)	Translation, ribosomal structure and biogenesis	Translation factors
VNG_2586C	CofE	COG1478	F420-0:Gamma-glutamyl ligase (F420 biosynthesis)	Coenzyme transport and metabolism	Undefined
VNG_2587C	EngB	COG0218	GTP-binding protein EngB required for normal cell division	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_2589C	YggE	COG2968	Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain	Function unknown	Undefined
VNG_2591C	AF0785	COG1808	Uncharacterized membrane protein AF0785, contains DUF389 domain	Function unknown	Undefined
VNG_2595G	Nog1	COG1084	GTP-binding protein, GTP1/Obg family	General function prediction only	Undefined
VNG_2596G	HisI2	COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	Amino acid transport and metabolism	Histidine biosynthesis
VNG_2597C	Undefined	COG1259	Bifunctional DNase/RNase	General function prediction only	Undefined
VNG_2598G	PdxT	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)	Coenzyme transport and metabolism	Pyridoxal phosphate biosynthesis
VNG_2599H	SBH1	COG4023	Preprotein translocase subunit SecG (Sec61beta)	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2602G	CitT	COG0471	Di- and tricarboxylate antiporter	Carbohydrate transport and metabolism	Undefined
VNG_2604G	THI4	COG1635	Thiazole synthase/Archaeal ribulose 1,5-bisphosphate synthetase	Carbohydrate transport and metabolism	Undefined
VNG_2606G	ThiD|Undefined	COG0351|COG1992	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase|Predicted transcriptional regulator fused phosphomethylpyrimidine kinase (thiamin biosynthesis)	Coenzyme transport and metabolism|General function prediction only	Thiamine biosynthesis|Undefined
VNG_2607C	Undefined	COG2085	Predicted dinucleotide-binding enzyme	General function prediction only	Undefined
VNG_2608a	MTH1000	COG1255	Predicted small methyltransferase MTH1000, UPF0146 family	General function prediction only	Undefined
VNG_2608C	Gph	COG0546	Phosphoglycolate phosphatase, HAD superfamily	Energy production and conversion	Undefined
VNG_2610C	Undefined	COG1913	Predicted Zn-dependent protease	General function prediction only	Undefined
VNG_2611G	HflX	COG2262	50S ribosomal subunit-associated GTPase HflX	Translation, ribosomal structure and biogenesis	Undefined
VNG_2612G	Rli1	COG1245	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains	Translation, ribosomal structure and biogenesis	Undefined
VNG_2615C	PilT	COG1855	Predicted ATPase, PilT family, contains N-terminal PIN domain	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_2616G	YpwA	COG2317	Zn-dependent carboxypeptidase, M32 family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2617G	Tdh	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	Amino acid transport and metabolism	Non-phosphorylated Entner-Doudoroff pathway
VNG_2620G	UvrD	COG0210	Superfamily I DNA or RNA helicase	Replication, recombination and repair	Undefined
VNG_2624G	RibC	COG0307	Riboflavin synthase alpha chain	Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis
VNG_2625C	PrsW	COG2339	Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family	Signal transduction mechanisms	Undefined
VNG_2627C	CafA	COG1530	Ribonuclease G or E	Translation, ribosomal structure and biogenesis	Undefined
VNG_2628H	NifU	COG0694	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_2629G	NagC	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	Carbohydrate transport and metabolism	Undefined
VNG_2631H	AIM24	COG2013	AIM24 protein, required for mitochondrial respiration	Energy production and conversion	Undefined
VNG_2632G	FabG	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_2636G	UvrA	COG0178	Excinuclease UvrABC ATPase subunit	Replication, recombination and repair	Undefined
VNG_2638G	FixC	COG0644	Dehydrogenase (flavoprotein)	Energy production and conversion	Undefined
VNG_2639G	WecB	COG0381	UDP-N-acetylglucosamine 2-epimerase	Cell wall/membrane/envelope biogenesis	Undefined
